50000	100	100
60000	100	101
70000	100	102
80000	100	103
90000	100	104
100000	100	105
110000	102	106
120000	104	107
130000	106	108
140000	108	109
150000	110	110
160000	112	111
170000	114	112
180000	116	113
190000	118	114
200000	120	115
210000	123	116
220000	126	117
230000	129	118
240000	132	119
250000	135	120
260000	138	121
270000	141	122
280000	144	123
290000	147	124
300000	150	125
310000	153	126
320000	156	127
330000	159	128
340000	162	129
350000	165	130
360000	168	131
370000	171	132
380000	174	133
390000	177	134
400000	180	135
410000	183	136
420000	186	137
430000	189	138
440000	192	139
450000	195	140
460000	198	141
470000	201	142
480000	204	143
490000	207	144
500000	210	145
510000	212	146
520000	214	147
530000	216	148
540000	218	149
550000	220	150
560000	222	151
570000	224	152
580000	226	153
590000	228	154
600000	230	155
610000	232	156
620000	234	157
630000	236	158
640000	238	159
650000	240	160
660000	242	161
670000	244	162
680000	246	163
690000	248	164
700000	250	165
710000	252	166
720000	254	167
730000	256	168
740000	258	169
750000	260	170
760000	262	171
770000	264	172
780000	266	173
790000	268	174
800000	270	175
810000	272	176
820000	274	177
830000	276	178
840000	278	179
850000	280	180
860000	282	181
870000	284	182
880000	286	183
890000	288	184
900000	290	185
910000	292	186
920000	294	187
930000	296	188
940000	298	189
950000	300	190
960000	302	191
970000	304	192
980000	306	193
990000	308	194
1000000	310	195
1050000	321	200
1100000	332	205
1150000	343	210
1200000	354	215
1250000	365	220
1300000	376	225
1350000	387	230
1400000	398	235
1450000	409	240
1500000	420	245
1550000	429	250
1600000	438	255
1650000	447	260
1700000	456	265
1750000	465	270
1800000	474	275
1850000	483	280
1900000	492	285
1950000	501	290
2000000	510	295
2100000	524	305
2200000	538	315
2300000	552	325
2400000	566	335
2500000	580	345
2600000	592	355
2700000	604	365
2800000	616	375
2900000	628	385
3000000	640	395
3100000	650	405
3200000	660	415
3300000	670	425
3400000	680	435
3500000	690	445
3600000	700	455
3700000	710	465
3800000	720	475
3900000	730	485
4000000	740	495
4200000	756	515
4400000	772	535
4600000	788	555
4800000	804	575
5000000	820	595
5200000	836	615
5400000	852	635
5600000	868	655
5800000	884	675
6000000	900	695
6500000	940	745
7000000	980	795
7500000	1020	845
8000000	1060	895
8500000	1100	945
9000000	1140	995
9500000	1180	1045
10000000	1220	1095
10500000	1260	1145
11000000	1300	1195
11500000	1340	1245
12000000	1380	1295
12500000	1420	1345
13000000	1460	1395
13500000	1500	1445
14000000	1540	1495
14500000	1580	1545
15000000	1620	1595
15500000	1660	1645
16000000	1700	1695
16500000	1740	1745
17000000	1780	1795
17500000	1820	1845
18000000	1860	1895
18500000	1900	1945
19000000	1940	1995
19500000	1980	045
20000000	2020	2095
