200000	1.0000	1.0000
400000	1.0050	1.0243
600000	1.0060	1.0330
800000	1.0070	1.0420
1000000	1.0080	1.0510
1500000	1.0090	1.0549
2000000	1.0100	1.0591
2500000	1.0110	1.0711
3000000	1.0120	1.0753
3500000	1.0130	1.0795
4000000	1.0140	1.0837
4500000	1.0150	1.0885
5000000	1.0155	1.0924
6000000	1.0160	1.0960
7000000	1.0165	1.0996
8000000	1.0170	1.1032
9000000	1.0175	1.1068
10000000	1.0180	1.1107
Unlimited	1.0185	1.1400
